Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00127942588707535,0.0151241102447173,-0.00985810717289011,0,0,0,1.67774926625852,0.00906343835306296,8.45553301983081E-07,-3.93751691212787E-06,0.0137382930141301,0.000240421022548359,0.0076615986898399,0,0,0,0,0,0,package://mirtebot_description/meshes/base_link.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://mirtebot_description/meshes/base_link.STL,,Electronics mount 2-1;Battery support-1;Base Panel-1;Base Panel-2;Lidar Mount-1;Rear bumper-2;Electronics Box Front Panel-1;Camera Spacer-1;Charger mount-1;Cable pass-through A-1;Cable pass-through B-1;Electronics mount 3-1;Battery hatch-1;Front bumper-1;Electronics Box Rear Panel-1;Arm servo mount-1;H-bridge mount-1;Vlaggetje-2;Base-1;top plate-1;standoff M3 A-5;standoff M3 A-8;standoff M3 A-7;standoff M3 A-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_wheel_link,0.030103,0.034202,0.03996,0,0,0,0.26661,8.0546E-05,2.8056E-15,1.0884E-14,8.0546E-05,1.1213E-14,9.3196E-05,0,0,0,0,0,0,package://mirtebot_description/meshes/front_left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mirtebot_description/meshes/front_left_wheel_link.STL,,Mecanum Wheel (dia 100)-2,Origin_front_left_wheel_joint,,front_left_wheel_joint,fixed,0.16802,-0.050672,-0.07546,1.5708,0.13151,-1.5708,base_link,0,0,0,,,,,,,,,,,,
front_right_wheel_link,0.030103,0.034202,0.03996,0,0,0,0.26661,8.0546E-05,-5.0529E-15,7.75E-14,8.0546E-05,-1.4708E-15,9.3196E-05,0,0,0,0,0,0,package://mirtebot_description/meshes/front_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mirtebot_description/meshes/front_right_wheel_link.STL,,Mecanum Wheel (dia 100)-4,Origin_front_right_wheel_joint,,front_right_wheel_joint,fixed,-0.087976,-0.060085,-0.083647,1.5708,-0.14316,-1.5708,base_link,0,0,0,,,,,,,,,,,,
rear_right_wheel_link,0.030103,0.034202,0.03996,0,0,0,0.26661,8.0546E-05,1.1771E-15,9.8191E-15,8.0546E-05,1.9298E-14,9.3196E-05,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_right_wheel_link.STL,,Mecanum Wheel (dia 100)-3,Origin_rear_right_wheel_joint,,rear_right_wheel_joint,fixed,-0.087976,0.11997,-0.074702,1.5708,0.15337,-1.5708,base_link,0,0,0,,,,,,,,,,,,
rear_left_wheel_link,0.0301029400755673,0.034202366229229,0.039960226040592,0,0,0,0.266614983226052,8.05457942742895E-05,-5.04132749678783E-15,7.74862268226729E-14,8.05457942724331E-05,-1.47689691197136E-15,9.31956038947576E-05,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_left_wheel_link.STL,,Mecanum Wheel (dia 100)-5,Origin_rear_left_wheel_joint,,rear_left_wheel_joint,fixed,0.16802,0.10992,-0.083647,1.5708,-0.14316,-1.5708,base_link,0,0,0,,,,,,,,,,,,
camera_link,0.0013219,-0.00039201,-0.022261,0,0,0,0.18813,6.9146E-05,2.5433E-06,1.9137E-05,0.00044907,-4.2726E-06,0.0004083,0,0,0,0,0,0,package://mirtebot_description/meshes/camera_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://mirtebot_description/meshes/camera_link.STL,,Orbbec Astra Camera-1/Main_Body-1/MainBody-1,Origin_camera_joint,,camera_joint,fixed,0,-0.14666,0.0427,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,-3.97749846947626E-10,-0.0183461608911809,-9.54386087724353E-05,0,0,0,0.100511981883415,3.39518063996325E-05,-1.6211120950128E-12,-2.92284267119986E-13,4.1935853096105E-05,1.1815579647801E-07,3.44778101670497E-05,0,0,0,0,0,0,package://mirtebot_description/meshes/lidar_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://mirtebot_description/meshes/lidar_link.STL,,RP Lidar C1-1,Origin_lidar_joint,,lidar_joint,fixed,0,-0.1005,-0.023,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
fron_left_ultrasone_link,-4.3073E-05,0.0036756,-6.9914E-05,0,0,0,0.0038351,1.5937E-07,-8.5425E-10,-3.4091E-09,7.6875E-07,2.6506E-09,7.2622E-07,0,0,0,0,0,0,package://mirtebot_description/meshes/fron_left_ultrasone_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mirtebot_description/meshes/fron_left_ultrasone_link.STL,,hc-sr04-2,Origin_fron_left_ultrasone_joint,,fron_left_ultrasone_joint,fixed,0.052978,-0.12028,-0.031,3.1416,0,0.29671,base_link,0,0,0,,,,,,,,,,,,
fron_right_ultrasone_link,-4.30733527063132E-05,0.00367564883489799,-6.9913657863175E-05,0,0,0,0.00383513951999245,1.59365628586767E-07,-8.54250314742421E-10,-3.40905422018178E-09,7.6875152346034E-07,2.65062440645525E-09,7.26221149125632E-07,0,0,0,0,0,0,package://mirtebot_description/meshes/fron_right_ultrasone_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mirtebot_description/meshes/fron_right_ultrasone_link.STL,,hc-sr04-1,Origin_fron_right_ultrasone_joint,,fron_right_ultrasone_joint,fixed,-0.052978,-0.12028,-0.031,3.1416,0,-0.29671,base_link,0,0,0,,,,,,,,,,,,
rear_left_ultrasone_link,-4.3073E-05,0.0036756,-6.9914E-05,0,0,0,0.0038351,1.5937E-07,-8.5425E-10,-3.4091E-09,7.6875E-07,2.6506E-09,7.2622E-07,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_left_ultrasone_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_left_ultrasone_link.STL,,hc-sr04-5,Origin_rear_left_ultrasone_joint,,rear_left_ultrasone_joint,fixed,0.056561,0.11919,-0.031,3.1416,0,2.8449,base_link,0,0,0,,,,,,,,,,,,
rear_right_ultrasone_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_right_ultrasone_link.STL,1,1,1,1,0,0,0,0,0,0,package://mirtebot_description/meshes/rear_right_ultrasone_link.STL,,hc-sr04-6,Origin_rear_right_ultrasone_joint,Axis_rear_right_ultrasone_joint,rear_right_ultrasone_joint,fixed,-0.0565606470918482,0.119187021096338,-0.031,3.14159265358979,0,-2.84488668075076,base_link,0,0,0,,,,,,,,,,,,
